Transaction ID,Date (YYYY-MM-DD),User ID,Book Title,Genre,Borrowing Duration (Days)
T064,2025-03-07,U171,Python Basics,Mystery,5
T065,2025-01-21,U100,AI Fundamentals,History,17
T066,2025-02-22,U185,World History,Science,10
T067,2025-02-25,U136,Robotics,Science,20
T068,2025-01-24,U158,Space Science,Technology,20
T069,2025-02-27,U129,Space Science,History,5
T070,2025-01-14,U135,Deep Learning,Fiction,30
T071,2025-03-24,U106,Crime Thriller,Romance,18
T072,2025-03-18,U191,Mystery Case,Fiction,12
T073,2025-03-22,U154,Python Basics,Fiction,14
T074,2025-03-30,U176,Deep Learning,Mystery,8
T075,2025-02-09,U185,World History,History,28
T076,2025-01-06,U114,Deep Learning,Technology,21
T077,2025-02-21,U143,Crime Thriller,History,25
T078,2025-03-05,U105,Ancient Civilizations,History,8
T079,2025-03-04,U105,Algorithm Design,Technology,16
T080,2025-02-10,U144,Love Stories,Fiction,21
T081,2025-01-15,U141,Modern Tech,Technology,6
T082,2025-02-17,U127,Robotics,Science,30
T083,2025-03-19,U127,Algorithm Design,Romance,11
T084,2025-02-12,U127,Mystery Case,Technology,14
T085,2025-02-25,U117,Data Science Intro,History,17
T086,2025-01-24,U185,Python Basics,Technology,29
T087,2025-03-10,U142,Crime Thriller,History,29
T088,2025-02-09,U132,Machine Learning Guide,Science,10
T089,2025-03-17,U198,Crime Thriller,Technology,22
T090,2025-02-22,U172,Machine Learning Guide,Science,19
T091,2025-02-12,U185,Love Stories,History,11
T092,2025-02-19,U145,Deep Learning,Fiction,21
T093,2025-01-08,U158,Mystery Case,Mystery,23
T094,2025-02-22,U103,Machine Learning Guide,Technology,26
T095,2025-03-19,U138,Deep Learning,Technology,17
T096,2025-01-31,U188,Deep Learning,Technology,27
T097,2025-03-04,U136,Robotics,Romance,22
T098,2025-02-13,U143,AI Fundamentals,Mystery,11
T099,2025-03-27,U189,AI Fundamentals,Mystery,20
T100,2025-03-20,U164,Deep Learning,Romance,22
T101,2025-02-07,U116,Algorithm Design,Science,5
T102,2025-03-22,U115,Crime Thriller,Mystery,10
T103,2025-02-18,U163,Data Science Intro,Mystery,14
T104,2025-03-28,U180,Crime Thriller,Science,26
T105,2025-03-25,U176,Ancient Civilizations,Romance,13
T106,2025-02-01,U133,AI Fundamentals,Science,18
T107,2025-02-21,U171,Robotics,Science,17
T108,2025-03-12,U123,World History,Mystery,5
T109,2025-03-22,U177,Algorithm Design,History,13
T110,2025-01-01,U133,Python Basics,Technology,30
T111,2025-02-18,U176,AI Fundamentals,Technology,20
T112,2025-03-04,U182,AI Fundamentals,History,11
T113,2025-03-25,U156,Database SQL,Technology,14
T114,2025-03-29,U139,Machine Learning Guide,Science,12
T115,2025-03-10,U135,Space Science,Science,20
T116,2025-01-25,U184,Mystery Case,Fiction,21
T117,2025-03-22,U160,Python Basics,Fiction,17
T118,2025-02-19,U190,Database SQL,Romance,6
T119,2025-03-16,U149,Ancient Civilizations,Fiction,19
T120,2025-01-27,U194,Robotics,Romance,20
T121,2025-03-19,U134,Space Science,History,18
T122,2025-01-23,U162,Database SQL,Science,6
T123,2025-01-15,U136,Algorithm Design,Technology,5
T124,2025-03-23,U180,Python Basics,Fiction,5
T125,2025-02-21,U177,Data Science Intro,Science,11
T126,2025-03-15,U115,Machine Learning Guide,Technology,16
T127,2025-03-15,U122,Crime Thriller,History,28
T128,2025-03-01,U118,Deep Learning,Technology,8
T129,2025-03-30,U170,Ancient Civilizations,History,14
T130,2025-01-10,U105,Data Science Intro,Fiction,30
T131,2025-01-15,U195,Crime Thriller,Mystery,14
T132,2025-01-20,U151,Data Science Intro,History,21
T133,2025-01-27,U133,Algorithm Design,Fiction,6
T134,2025-03-05,U104,Database SQL,Technology,12
T135,2025-03-08,U198,World History,Mystery,18
T136,2025-03-27,U166,Crime Thriller,Romance,29
T137,2025-02-10,U171,Database SQL,Romance,25
T138,2025-01-06,U170,Robotics,Fiction,30
T139,2025-03-27,U148,Mystery Case,Science,16
T140,2025-01-17,U169,Love Stories,Fiction,23
T141,2025-02-09,U108,Mystery Case,Fiction,9
T142,2025-03-08,U187,Modern Tech,Technology,5
T143,2025-02-13,U181,Love Stories,Fiction,10
T144,2025-01-19,U168,Robotics,History,10
T145,2025-01-24,U168,Deep Learning,Fiction,25
T146,2025-01-25,U165,Machine Learning Guide,Science,11
T147,2025-01-02,U133,Machine Learning Guide,Mystery,20
T148,2025-02-21,U111,Love Stories,Fiction,12
T149,2025-03-05,U141,Deep Learning,Science,10
T150,2025-01-24,U139,Ancient Civilizations,Fiction,13
